disno,dyindex,statea,namea,stateb,nameb,year,strtday,strtmnth,strtyr,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,dyad_rolea,dyad_roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,severity,severitya,severityb,ongo2014,new,change,changetype_1,changetype_2
3403,3403.0009765625,652,SYR,666,ISR,1954,28,2,1954,28,2,1954,5,3,0,19,4,0,1,1,1,1,1,0,19,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,1,1,16,16,0,65,65,0,0,0,0,0,0
3403,3403.0009765625,666,ISR,652,SYR,1954,28,2,1954,28,2,1954,5,3,0,19,4,0,1,1,0,0,0,0,0,1,1,1,1,1,0,19,4,1,3,1,3,1,0,1,1,1,16,0,16,65,0,65,0,0,0,0,0
3404,3404.0009765625,652,SYR,666,ISR,1954,6,4,1954,25,2,1955,0,0,0,18,4,1,1,1,1,1,1,0,18,4,1,0,0,0,0,18,4,1,1,3,1,3,0,1,270,270,17,17,17,75,75,75,0,0,0,0,0
3404,3404.0009765625,652,SYR,666,ISR,1955,6,4,1954,25,2,1955,5,3,1,18,4,1,1,1,1,1,1,1,18,4,1,0,0,0,0,18,4,1,1,3,1,3,0,2,57,327,17,17,17,75,75,75,0,0,0,0,0
3404,3404.0009765625,666,ISR,652,SYR,1954,6,4,1954,25,2,1955,0,0,0,18,4,1,1,1,0,0,0,0,18,4,1,1,1,1,0,18,4,1,3,1,3,1,0,1,270,270,17,17,17,75,75,75,0,0,0,0,0
3404,3404.0009765625,666,ISR,652,SYR,1955,6,4,1954,25,2,1955,5,3,1,18,4,1,1,1,0,0,0,0,18,4,1,1,1,1,1,18,4,1,3,1,3,1,0,2,57,327,17,17,17,75,75,75,0,0,0,0,0
3405,3405.0009765625,651,EGY,666,ISR,1958,1,2,1958,9,6,1960,0,0,0,10,3,0,2,1,1,1,2,0,7,3,0,0,0,0,0,10,3,1,2,3,1,3,0,1,334,334,8,7,8,20,49,20,0,0,0,0,0
3405,3405.0009765625,651,EGY,666,ISR,1959,1,2,1958,9,6,1960,0,0,0,10,3,0,2,1,1,1,2,0,7,3,0,0,0,0,0,10,3,1,2,3,1,3,0,2,365,699,8,7,8,20,49,20,0,0,0,0,0
3405,3405.0009765625,651,EGY,666,ISR,1960,1,2,1958,9,6,1960,5,3,1,10,3,0,2,1,1,1,2,1,7,3,0,0,0,0,1,10,3,1,2,3,1,3,0,3,162,861,8,7,8,20,49,20,0,0,0,0,0
3405,3405.0009765625,666,ISR,651,EGY,1958,1,2,1958,9,6,1960,0,0,0,10,3,0,2,1,0,0,0,0,10,3,1,1,1,2,0,7,3,0,3,2,3,1,0,1,334,334,8,8,7,20,20,49,0,0,0,0,0
3405,3405.0009765625,666,ISR,651,EGY,1959,1,2,1958,9,6,1960,0,0,0,10,3,0,2,1,0,0,0,0,10,3,1,1,1,2,0,7,3,0,3,2,3,1,0,2,365,699,8,8,7,20,20,49,0,0,0,0,0
3405,3405.0009765625,666,ISR,651,EGY,1960,1,2,1958,9,6,1960,5,3,1,10,3,0,2,1,0,0,0,1,10,3,1,1,1,2,1,7,3,0,3,2,3,1,0,3,162,861,8,8,7,20,20,49,0,0,0,0,0
3405,3405.001953125,652,SYR,666,ISR,1955,14,10,1955,1,2,1958,0,0,0,19,4,1,2,1,1,1,1,0,18,4,1,0,1,1,0,19,4,1,1,3,1,3,0,1,79,79,16,17,16,65,75,65,0,0,0,0,0
3405,3405.001953125,652,SYR,666,ISR,1956,14,10,1955,1,2,1958,0,0,0,19,4,1,2,1,1,1,1,0,18,4,1,0,1,1,0,19,4,1,1,3,1,3,0,2,366,445,16,17,16,65,75,65,0,0,0,0,0
3405,3405.001953125,652,SYR,666,ISR,1957,14,10,1955,1,2,1958,0,0,0,19,4,1,2,1,1,1,1,0,18,4,1,0,1,1,0,19,4,1,1,3,1,3,0,3,365,810,16,17,16,65,75,65,0,0,0,0,0
3405,3405.001953125,652,SYR,666,ISR,1958,14,10,1955,1,2,1958,5,3,1,19,4,1,2,1,1,1,1,1,18,4,1,0,1,1,1,19,4,1,1,3,1,3,0,4,33,843,16,17,16,65,75,65,0,0,0,0,0
3405,3405.001953125,666,ISR,652,SYR,1955,14,10,1955,1,2,1958,0,0,0,19,4,1,2,1,0,1,1,0,19,4,1,1,1,1,0,18,4,1,3,1,3,1,0,1,79,79,16,16,17,65,65,75,0,0,0,0,0
3405,3405.001953125,666,ISR,652,SYR,1956,14,10,1955,1,2,1958,0,0,0,19,4,1,2,1,0,1,1,0,19,4,1,1,1,1,0,18,4,1,3,1,3,1,0,2,366,445,16,16,17,65,65,75,0,0,0,0,0
3405,3405.001953125,666,ISR,652,SYR,1957,14,10,1955,1,2,1958,0,0,0,19,4,1,2,1,0,1,1,0,19,4,1,1,1,1,0,18,4,1,3,1,3,1,0,3,365,810,16,16,17,65,65,75,0,0,0,0,0
3405,3405.001953125,666,ISR,652,SYR,1958,14,10,1955,1,2,1958,5,3,1,19,4,1,2,1,0,1,1,1,19,4,1,1,1,1,1,18,4,1,3,1,3,1,0,4,33,843,16,16,17,65,65,75,0,0,0,0,0
3406,3406.0009765625,651,EGY,666,ISR,1961,12,2,1961,15,8,1961,5,3,0,19,4,1,1,1,1,1,1,0,19,4,1,0,0,0,0,19,4,1,1,3,1,3,0,1,185,185,16,16,16,65,65,65,0,0,0,0,0
3406,3406.0009765625,666,ISR,651,EGY,1961,12,2,1961,15,8,1961,5,3,0,19,4,1,1,1,0,0,0,0,19,4,1,1,1,1,0,19,4,1,3,1,3,1,0,1,185,185,16,16,16,65,65,65,0,0,0,0,0
3411,3411.0009765625,652,SYR,666,ISR,1950,16,2,1950,4,9,1950,5,3,1,19,4,0,1,1,1,0,0,0,17,4,1,0,1,1,1,19,4,1,1,3,1,3,0,1,201,201,16,15,16,65,81,65,0,0,0,0,0
3411,3411.0009765625,666,ISR,652,SYR,1950,16,2,1950,4,9,1950,5,3,1,19,4,0,1,1,0,1,1,1,19,4,1,1,0,0,0,17,4,1,3,1,3,1,0,1,201,201,16,16,15,65,65,81,0,0,0,0,0
3412,3412.0009765625,651,EGY,666,ISR,1966,24,9,1966,27,11,1966,5,3,0,19,4,0,3,1,1,0,0,0,9,3,0,0,0,0,0,19,4,1,2,3,1,3,0,1,65,65,16,7,16,65,49,65,0,0,0,0,0
3412,3412.0009765625,666,ISR,651,EGY,1966,24,9,1966,27,11,1966,5,3,0,19,4,0,3,1,0,0,0,0,19,4,1,1,0,0,0,9,3,0,3,2,3,1,0,1,65,65,16,16,7,65,65,49,0,0,0,0,0
3412,3412.001953125,652,SYR,666,ISR,1966,17,9,1966,27,11,1966,5,3,0,19,4,1,3,1,1,1,1,0,19,4,1,0,0,0,0,19,4,1,1,3,1,3,0,1,72,72,16,16,16,65,65,65,0,0,0,0,0
3412,3412.001953125,666,ISR,652,SYR,1966,17,9,1966,27,11,1966,5,3,0,19,4,1,3,1,0,0,0,0,19,4,1,1,1,1,0,19,4,1,3,1,3,1,0,1,72,72,16,16,16,65,65,65,0,0,0,0,0
3412,3412.0029296875,663,JOR,666,ISR,1966,10,10,1966,10,10,1966,5,3,0,19,4,0,3,1,1,0,0,0,2,2,0,0,0,0,0,19,4,1,2,3,3,1,0,1,1,1,16,1,16,65,30,65,0,0,0,0,0
3412,3412.0029296875,666,ISR,663,JOR,1966,10,10,1966,10,10,1966,5,3,0,19,4,0,3,1,0,0,0,0,19,4,1,1,0,0,0,2,2,0,3,2,1,3,0,1,1,1,16,16,1,65,65,30,0,0,0,0,0
3413,3413.0009765625,652,SYR,666,ISR,1951,16,12,1951,29,6,1952,0,0,0,19,4,1,1,1,1,0,0,0,19,4,1,0,1,1,0,18,4,1,1,3,1,3,0,1,16,16,16,16,17,65,65,75,0,0,0,0,0
3413,3413.0009765625,652,SYR,666,ISR,1952,16,12,1951,29,6,1952,5,3,1,19,4,1,1,1,1,0,0,0,19,4,1,0,1,1,1,18,4,1,1,3,1,3,0,2,182,198,16,16,17,65,65,75,0,0,0,0,0
3413,3413.0009765625,666,ISR,652,SYR,1951,16,12,1951,29,6,1952,0,0,0,19,4,1,1,1,0,1,1,0,18,4,1,1,0,0,0,19,4,1,3,1,3,1,0,1,16,16,16,17,16,65,75,65,0,0,0,0,0
3413,3413.0009765625,666,ISR,652,SYR,1952,16,12,1951,29,6,1952,5,3,1,19,4,1,1,1,0,1,1,1,18,4,1,1,0,0,0,19,4,1,3,1,3,1,0,2,182,198,16,17,16,65,75,65,0,0,0,0,0
3414,3414.0009765625,652,SYR,666,ISR,1952,9,1,1952,25,4,1952,7,3,0,17,4,0,1,1,0,1,1,0,0,1,1,1,0,0,0,17,4,1,3,1,3,1,0,1,108,108,15,0,15,81,65,81,0,0,0,0,0
3414,3414.0009765625,666,ISR,652,SYR,1952,9,1,1952,25,4,1952,7,3,0,17,4,0,1,1,1,0,0,0,17,4,1,0,1,1,0,0,1,1,1,3,1,3,0,1,108,108,15,15,0,81,81,81,0,0,0,0,0
3415,3415.0009765625,652,SYR,666,ISR,1954,15,8,1954,28,12,1954,7,3,0,17,4,0,1,1,1,1,1,0,17,4,1,0,0,0,0,17,4,1,1,3,1,3,0,1,136,136,15,15,15,81,81,81,0,0,0,0,0
3415,3415.0009765625,666,ISR,652,SYR,1954,15,8,1954,28,12,1954,7,3,0,17,4,0,1,1,0,0,0,0,17,4,1,1,1,1,0,17,4,1,3,1,3,1,0,1,136,136,15,15,15,81,81,81,0,0,0,0,0
3416,3416.0009765625,652,SYR,666,ISR,1955,4,8,1955,4,8,1955,7,3,0,17,4,0,1,1,0,1,1,0,0,1,1,1,0,0,0,17,4,1,3,1,3,1,0,1,1,1,15,0,15,81,75,81,0,0,0,0,0
3416,3416.0009765625,666,ISR,652,SYR,1955,4,8,1955,4,8,1955,7,3,0,17,4,0,1,1,1,0,0,0,17,4,1,0,1,1,0,0,1,1,1,3,1,3,0,1,1,1,15,15,0,81,81,81,0,0,0,0,0
3417,3417.0009765625,652,SYR,666,ISR,1953,1,2,1953,22,1,1958,0,0,0,19,4,0,1,1,1,1,1,0,19,4,1,0,0,0,0,2,2,1,1,3,1,3,0,1,334,334,16,16,1,65,65,30,0,0,0,0,0
3417,3417.0009765625,652,SYR,666,ISR,1954,1,2,1953,22,1,1958,0,0,0,19,4,0,1,1,1,1,1,0,19,4,1,0,0,0,0,2,2,1,1,3,1,3,0,2,365,699,16,16,1,65,65,30,0,0,0,0,0
3417,3417.0009765625,652,SYR,666,ISR,1955,1,2,1953,22,1,1958,0,0,0,19,4,0,1,1,1,1,1,0,19,4,1,0,0,0,0,2,2,1,1,3,1,3,0,3,365,1064,16,16,1,65,65,30,0,0,0,0,0
3417,3417.0009765625,652,SYR,666,ISR,1956,1,2,1953,22,1,1958,0,0,0,19,4,0,1,1,1,1,1,0,19,4,1,0,0,0,0,2,2,1,1,3,1,3,0,4,366,1430,16,16,1,65,65,30,0,0,0,0,0
3417,3417.0009765625,652,SYR,666,ISR,1957,1,2,1953,22,1,1958,0,0,0,19,4,0,1,1,1,1,1,0,19,4,1,0,0,0,0,2,2,1,1,3,1,3,0,5,365,1795,16,16,1,65,65,30,0,0,0,0,0
3417,3417.0009765625,652,SYR,666,ISR,1958,1,2,1953,22,1,1958,5,3,2,19,4,0,1,1,1,1,1,2,19,4,1,0,0,0,1,2,2,1,1,3,1,3,0,6,23,1818,16,16,1,65,65,30,0,0,0,0,0
3417,3417.0009765625,666,ISR,652,SYR,1953,1,2,1953,22,1,1958,0,0,0,19,4,0,1,1,0,0,0,0,2,2,1,1,1,1,0,19,4,1,3,1,3,1,0,1,334,334,16,1,16,65,30,65,0,0,0,0,0
3417,3417.0009765625,666,ISR,652,SYR,1954,1,2,1953,22,1,1958,0,0,0,19,4,0,1,1,0,0,0,0,2,2,1,1,1,1,0,19,4,1,3,1,3,1,0,2,365,699,16,1,16,65,30,65,0,0,0,0,0
